 Lorraine Bracco,1995,1
 Marilyn Sokol,1995,1
 James Madio,1995,1
 Patrick McGaw,1995,1
 Mark Wahlberg,1995,2
 Roy Cooper,1995,1
 Vincent Pastore,1995,1
skip,skip,skip
 David Thewlis,1995,1
 Romane Bohringer,1995,1
 Dominique Blanc,1995,1
skip,skip,skip
 Claire Danes,1996,1
 John Leguizamo,1996,1
 Harold Perrineau,1996,1
 Pete Postlethwaite,1996,2
 Paul Sorvino,1996,1
 Brian Dennehy,1996,1
skip,skip,skip
 Paul Rudd,1996,1
 Meryl Streep,1996,1
 Diane Keaton,1996,1
 Robert De Niro,1996,1
 Hume Cronyn,1996,1
skip,skip,skip
 Kate Winslet,1997,2
 Billy Zane,1997,1
 Kathy Bates,1997,1
 Frances Fisher,1997,1
 Gloria Stuart,1997,1
 Bill Paxton,1997,1
 Bernard Hill,1997,1
 David Warner,1997,1
 Victor Garber,1997,1
 Jonathan Hyde,1997,1
 Suzy Amis,1997,1
 Lewis Abernathy,1997,1
 Nicholas Cascone,1997,1
 Anatoly M. Sagalevitch,1997,1
 Danny Nucci,1997,1
 Jason Barry,1997,1
 Ewan Stewart,1997,1
 Ioan Gruffudd,1997,1
 Jonny Phillips,1997,1
 Mark Lindsay Chapman,1997,1
 Richard Graham,1997,1
 Paul Brightwell,1997,1
 Ron Donachie,1997,1
 Eric Braeden,1997,1
 Charlotte Chatton,1997,1
 Bernard Fox,1997,1
 Michael Ensign,1997,1
 Fannie Brett,1997,1
 Jenette Goldstein,1997,1
 Camilla Overbye Roos,1997,1
 Linda Kerns,1997,1
skip,skip,skip
 Jeremy Irons,1998,1
 John Malkovich,1998,1
 G_rard Depardieu,1998,1
 Gabriel Byrne,1998,1
 Anne Parillaud,1998,1
skip,skip,skip
 Greg Mottola,1998,1
 Jeff Mazzola,1998,1
 Dick Mingalone,1998,1
 Vladimir Bibic,1998,1
 Melanie Griffith,1998,1
 Francisco Quijada,1998,1
 Aleksa Palladino,1998,1
 Dan Moran,1998,1
 Peter Castellotti,1998,1
 A. Lee Morris,1998,1
 Douglas McGrath,1998,1
 Kenneth Branagh,1998,1
 Maurice Sonnenberg,1998,1
 Winona Ryder,1998,1
 Craig Ulmschneider,1998,1
 Mina Bern,1998,1
 Janet Marlow,1998,1
 Tommie Baxter,1998,1
 Kathleen Doyle,1998,1
 Arthur Berwick,1998,1
 Jodi Long,1998,1
 John Carter,1998,1
 Judy Davis,1998,1
 Monique Fowler,1998,1
 Marylouise Burke,1998,1
 Peter Boyden,1998,1
 Peter McRobbie,1998,1
 Maureen McNamara,1998,1
 Mary Catherine Wright,1998,1
 J.K. Simmons,1998,1
 Dylan Baker,1998,1
 Charlize Theron,1998,1
 Melinda Eng,1998,1
 Isaac Mizrahi,1998,1
 Alma Cuervo,1998,1
 Eve Salvail,1998,1
 Polly Adams,1998,1
 Brian McConnachie,1998,1
 Irina Pantaeva,1998,1
 Mark Vanderloo,1998,1
skip,skip,skip
 Daniel York,2000,1
 Patcharawan Patarakijjanon,2000,1
 Virginie Ledoyen,2000,1
 Guillaume Canet,2000,1
 Robert Carlyle,2000,1
 Somboon Phutaroth,2000,1
 Weeratham 'Norman' Wichairaksakui,2000,1
 Jak Boon,2000,1
 Peter Youngblood Hills,2000,1
skip,skip,skip
 Scott Bloom,2001,1
 Kevin Connolly,2001,1
 Tobey Maguire,2001,1
 Jenny Lewis,2001,1
 Meadow Sisto,2001,1
 Marissa Ribisi,2001,1
skip,skip,skip
 Daniel Day-Lewis,2002,1
 Cameron Diaz,2002,1
 Jim Broadbent,2002,1
 John C. Reilly,2002,2
 Henry Thomas,2002,1
 Liam Neeson,2002,1
 Brendan Gleeson,2002,1
 Gary Lewis,2002,1
 Stephen Graham,2002,1
 Eddie Marsan,2002,1
 Alec McCowen,2002,1
 David Hemmings,2002,1
 Lawrence Gilliard Jr.,2002,1
 Cara Seymour,2002,1
 Roger Ashton-Griffiths,2002,1
 Peter-Hugo Daly,2002,1
 Cian McCormack,2002,1
 Andrew Gallagher,2002,1
 Philip Kirk,2002,1
 Rab Affleck,2002,1
 Bill Barclay,2002,1
 Nick Bartlett,2002,1
 Robert Goodman,2002,1
 Tim Pigott-Smith,2002,1
 Liam Carney,2002,1
skip,skip,skip
 Tom Hanks,2002,1
 Christopher Walken,2002,1
 Martin Sheen,2002,2
 Nathalie Baye,2002,1
 Amy Adams,2002,1
 James Brolin,2002,1
 Brian Howe,2002,1
 Frank John Hughes,2002,1
 Steve Eastin,2002,1
 Chris Ellis,2002,1
 John Finn,2002,1
 Jennifer Garner,2002,1
 Nancy Lenehan,2002,1
 Ellen Pompeo,2002,1
 Elizabeth Banks,2002,1
 Guy Thauvette,2002,1
 Candice Azzara,2002,1
 Matthew Kimbrough,2002,1
 Joshua Boyd,2002,1
 Kaitlin Doubleday,2002,1
 Kelly McNair,2002,1
 Jonathan Dankner,2002,1
 Maggie Mellin,2002,1
 Thomas Kopache,2002,1
 Margaret Travolta,2002,1
 Jimmie F. Skaggs,2002,1
 Alex Hyde-White,2002,1
 Lilyan Chauvin,2002,1
 Eugene Fleming,2002,1
 Robert Ruth,2002,1
 Jennifer Manley,2002,1
 James Morrison,2002,1
 Robert Symonds,2002,1
 Jennifer Kan,2002,1
 Robert Curtis Brown,2002,1
 Kelly Hutchinson,2002,1
 Steve Witting,2002,2
 Wendy Worthington,2002,1
 Jane Bodle,2002,1
skip,skip,skip
 Cate Blanchett,2004,1
 Kate Beckinsale,2004,1
 Alec Baldwin,2004,2
 Alan Alda,2004,1
 Ian Holm,2004,1
 Danny Huston,2004,1
 Gwen Stefani,2004,1
 Jude Law,2004,1
 Adam Scott,2004,1
 Matt Ross,2004,1
 Kelli Garner,2004,1
 Frances Conroy,2004,1
 Brent Spiner,2004,1
 Stanley DeSantis,2004,1
 Edward Herrmann,2004,2
 Willem Dafoe,2004,1
 Kenneth Welsh,2004,1
 J.C. MacKenzie,2004,3
 Jacob Davich,2004,1
 Amy Sloan,2004,1
skip,skip,skip
 Matt Damon,2006,1
 Jack Nicholson,2006,1
 Ray Winstone,2006,1
 Vera Farmiga,2006,1
 Anthony Anderson,2006,1
 Kevin Corrigan,2006,1
 James Badge Dale,2006,1
 David O'Hara,2006,1
 Mark Rolston,2006,1
 Robert Wahlberg,2006,1
 Kristen Dalton,2006,1
 Thomas B. Duffy,2006,1
 Mary Klug,2006,1
 Peg Holzemer,2006,1
 Robert 'Toshi' Kar Yuen Chan,2006,1
 Gurdeep Singh,2006,1
 Armen Garo,2006,1
 John Cenatiempo,2006,1
 Joseph Riccobene,2006,1
 Billy Smith,2006,2
 Lyman Chen,2006,1
 Kevin P. McCarthy,2006,1
 Chris Fischer,2006,1
 Brian Smyj,2006,1
 William Severs,2006,1
skip,skip,skip
 Djimon Hounsou,2006,1
 Jennifer Connelly,2006,1
 Kagiso Kuypers,2006,1
 Arnold Vosloo,2006,1
 Antony Coleman,2006,1
 Benu Mabhena,2006,1
 Anointing Lukola,2006,1
 David Harewood,2006,1
 Basil Wallace,2006,1
 Jimi Mistry,2006,1
 Michael Sheen,2006,1
skip,skip,skip
 Russell Crowe,2008,1
 Mark Strong,2008,1
 Golshifteh Farahani,2008,1
 Oscar Isaac,2008,1
 Ali Suliman,2008,1
 Alon Aboutboul,2008,1
 Vince Colosimo,2008,2
 Simon McBurney,2008,1
 Mehdi Nebbou,2008,1
 Michael Gaston,2008,1
 Kais Nashif,2008,1
 Jameel Khoury,2008,1
 Lubna Azabal,2008,1
 Ghali Benlafkih,2008,1
 Youssef Srondy,2008,1
 Ali Khalil,2008,1
 Giannina Facio,2008,1
skip,skip,skip
 Christopher Fitzgerald,2008,1
 Jonathan Roumie,2008,1
 Neal Bledsoe,2008,1
 Marin Ireland,2008,1
 Samantha Soule,2008,1
 Heidi Armbruster,2008,1
 Sam Rosen,2008,1
 Maria Rusolo,2008,1
 Gena Oppenheim,2008,1
 Kathryn Dunn,2008,1
 Joe Komara,2008,1
 Allison Twyford,2008,1
 David Harbour,2008,1
skip,skip,skip
 Mark Ruffalo,2010,1
 Ben Kingsley,2010,1
 Max von Sydow,2010,1
 Michelle Williams,2010,1
 Emily Mortimer,2010,1
 Patricia Clarkson,2010,1
 Jackie Earle Haley,2010,1
 Ted Levine,2010,1
 John Carroll Lynch,2010,1
 Elias Koteas,2010,1
 Robin Bartlett,2010,1
 Christopher Denham,2010,1
 Nellie Sciutto,2010,1
 Joseph Sikora,2010,1
skip,skip,skip
 Joseph Gordon-Levitt,2010,1
 Ellen Page,2010,1
 Tom Hardy,2010,2
 Ken Watanabe,2010,1
 Dileep Rao,2010,1
 Cillian Murphy,2010,1
 Tom Berenger,2010,1
 Marion Cotillard,2010,1
 Michael Caine,2010,1
 Lukas Haas,2010,2
 Tai-Li Lee,2010,1
 Claire Geare,2010,1
 Magnus Nolan,2010,1
skip,skip,skip
 Josh Hamilton,2011,1
 Geoff Pierson,2011,1
 Cheryl Lawson,2011,1
 Kaitlyn Dever,2011,1
 Brady Matthews,2011,1
 Gunner Wright,2011,1
 David A. Cooper,2011,1
 Ed Westwick,2011,1
 Naomi Watts,2011,1
 Kelly Lester,2011,1
 Jack Donner,2011,1
 Judi Dench,2011,1
 Dylan Burns,2011,1
 Jordan Bridges,2011,1
 Jack Axelrod,2011,1
 Jessica Hecht,2011,1
 Josh Stamberg,2011,1
 Michael James Faradie,2011,1
 Christian Clemenson,2011,1
 Armie Hammer,2011,1
 Michael Rady,2011,1
 Ken Howard,2011,1
 Scot Carlisle,2011,1
 Geoff Stults,2011,1
 Sadie Calvano,2011,1
 Allen Nabors,2011,1
 Ryan McPartlin,2011,1
 William Bebow,2011,1
 Jeffrey Donovan,2011,1
 Joseph Culliton,2011,1
 Scott Johnston,2011,1
 Tom Archdeacon,2011,1
 Mike Vaughn,2011,1
 Miles Fisher,2011,1
 Stephen F. Schmidt,2011,1
 Dermot Mulroney,2011,1
skip,skip,skip
 Christoph Waltz,2012,1
 Kerry Washington,2012,1
 Samuel L. Jackson,2012,1
 Walton Goggins,2012,1
 Dennis Christopher,2012,1
 James Remar,2012,1
 David Steen,2012,1
 Dana Gourrier,2012,1
 Nichole Galicia,2012,1
 Laura Cayouette,2012,1
 Ato Essandoh,2012,1
 Sammi Rotibi,2012,1
 Clay Donahue Fontenot,2012,1
 Escalante Lundy,2012,1
 Miriam F. Glover,2012,1
 Don Johnson,2012,1
 Franco Nero,2012,1
 James Russo,2012,1
 Tom Wopat,2012,1
 Don Stroud,2012,1
 Russ Tamblyn,2012,1
 Amber Tamblyn,2012,1
 Bruce Dern,2012,1
 M.C. Gainey,2012,1
 Cooper Huckabee,2012,1
 Doc Duhame,2012,1
skip,skip,skip
 Frank Aldridge,2013,1
 Amitabh Bachchan,2013,1
 Steve Bisley,2013,1
 Richard Carter,2013,1
 Jason Clarke,2013,1
 Adelaide Clemens,2013,1
 Max Cullen,2013,1
 Mal Day,2013,1
 Elizabeth Debicki,2013,1
 Joel Edgerton,2013,1
 Emmanuel Ekwenski,2013,1
 Eden Falk,2013,1
 Isla Fisher,2013,1
 Emily Foreman,2013,1
 Tiger Leacey Wyvill,2013,1
 Charlize Skinner,2013,1
 Garrett William Fountain,2013,1
 David Furlong,2013,1
 Daniel Gill,2013,1
 Iota,2013,1
 Price Johnson,2013,1
 Stephen James King,2013,1
 Goran D. Kleut,2013,1
 Kim Knuckey,2013,1
 Barrie Laws,2013,1
skip,skip,skip
 Jonah Hill,2013,1
 Margot Robbie,2013,1
 Matthew McConaughey,2013,1
 Kyle Chandler,2013,1
 Rob Reiner,2013,1
 Jon Bernthal,2013,1
 Jon Favreau,2013,1
 Jean Dujardin,2013,1
 Joanna Lumley,2013,1
 Cristin Milioti,2013,1
 Christine Ebersole,2013,1
 Shea Whigham,2013,1
 Katarina Cas,2013,1
 P.J. Byrne,2013,1
 Kenneth Choi,2013,1
 Brian Sacca,2013,1
 Henry Zebrowski,2013,1
 Ethan Suplee,2013,1
 Barry Rothbart,2013,1
 Jake Hoffman,2013,1
 MacKenzie Meehan,2013,1
 Bo Dietl,2013,1
 Jon Spinogatti,2013,1
 Aya Cash,2013,1
 Rizwan Manji,2013,1
 Stephanie Kurtzuba,2013,1
 Ashlie Atkinson,2013,1
 Thomas Middleditch,2013,1
 Stephen Kunken,2013,1
 Jordan Belfort,2013,1
 Ted Griffin,2013,1
 Fran Lebowitz,2013,1
 Robert Clohessy,2013,1
 Natasha Newman Thomas,2013,1
 Sandra Nelson,2013,1
 Johnnie Mae,2013,1
 Christina Jeffs,2013,1
 Sabina Maschi,2013,1
 Zana Markelson,2013,1
 Welker White,2013,1
 Danny Flaherty,2013,1
 Carla Corvo,2013,1
 Dustin Kerns,2013,1
 Ashley Blankenship,2013,1
 Madison McKinley,2013,1
 Dierdre Reimold,2013,1
 Kerry Malloy,2013,1
 Frank van Putten,2013,1
 Aaron Lazar,2013,1
 Steve Routman,2013,1
 Charley Morgan,2013,1
 Michael Nathanson,2013,1
 Natalie Bensel,2013,1
 Tess Gillis,2013,1
 Jaclyn Keys,2013,1
 Krista Ashworth,2013,1
 Kathleen Fellegara,2013,1
 John Bernard Martin,2013,1
 Jamel Daniels,2013,1
 Dan Bittner,2013,1
 John Behlmann,2013,1
 Ward Horton,2013,1
 Bret Shuford,2013,1
skip,skip,skip
 Brad Pitt,2015,1
 Martin Scorsese,2015,1
 Rodrigo Prieto,2015,1
skip,skip,skip
 Domhnall Gleeson,2015,1
 Will Poulter,2015,1
 Forrest Goodluck,2015,1
 Paul Anderson,2015,1
 Kristoffer Joner,2015,1
 Joshua Burge,2015,1
 Duane Howard,2015,1
 Melaw Nakehk'o,2015,1
 Fabrice Adde,2015,1
 Arthur RedCloud,2015,1
 Christopher Rosamond,2015,1
 Robert Moloney,2015,1
 Brendan Fletcher,2015,1